名称;类别;编号;通径;内径(mm);外径（mm）;最低工作温度（℃）;最高工作温度（℃）;工作压力（Bar）;爆破压力（Bar）;真空压力（Bar）;弯曲半径（mm）
HST热水蒸汽管;橡胶软管;64RH30;DN64;64;81;-40;170;20;60;-0.1;650
HST热水蒸汽管;橡胶软管;76RH30;DN76;76;94;-40;170;20;60;-0.05;800
HST热水蒸汽管;橡胶软管;102RH30;DN102;102;122;-40;170;20;60;-0.05;1000
PHK特氟龙橡胶管;橡胶软管;19RH31;DN19;19;31;-40;150;10;30;-0.9;80
PHK特氟龙橡胶管;橡胶软管;25RH31;DN25;25;37;-40;150;10;30;-0.9;120
PHK特氟龙橡胶管;橡胶软管;32RH31;DN32;32;44;-40;150;10;30;-0.9;175
PHK特氟龙橡胶管;橡胶软管;38RH31;DN38;38;51;-40;150;10;30;-0.9;220
PHK特氟龙橡胶管;橡胶软管;51RH31;DN51;51;66;-40;150;10;30;-0.9;290
PHK特氟龙橡胶管;橡胶软管;64RH31;DN64;64;79;-40;150;10;30;-0.9;430
PHK特氟龙橡胶管;橡胶软管;76RH31;DN76;76;91;-40;150;10;30;-0.9;510
PHK特氟龙橡胶管;橡胶软管;102RH31;DN102;102;116;-40;150;10;30;-0.9;675
